datetime;Chosica;matucana;SanCristobal;SanMateodeOtao;SantaEulalia;YuracmayoEdegell;SantiagodeTuna;Antacoto;Antioquia;PuenteCupiche;Tamboraque;Agocancha;Casapalca;ShequeSedapal;Autisha;Yaso;ObrajilloSedapal;Huaros;Pariacancha;Colllac;Torococha;PatahuaySapicancha;Marcapomacocha;PuenteSalidaMarcapomacocha;MillocEdegell;PuenteMagdalenall;Discharge;Categoria;Aviso
1/11/2022 00:00;0;0;0.136099085;0;0;0.139361471;0;0;0;0;0.040278897;0.107069127;0.07278309;0;0;0;0;0;0;0;0;0;0;0;0;0;15.54554;NORMAL;No
1/11/2022 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.91854;NORMAL;No
1/11/2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.48474;NORMAL;No
1/11/2022 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.48474;NORMAL;No
1/11/2022 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.31977;NORMAL;No
1/11/2022 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.61796;NORMAL;No
1/11/2022 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.18498;NORMAL;No
1/11/2022 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.61796;NORMAL;No
1/11/2022 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.61796;NORMAL;No
1/11/2022 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061666571;0.061666571;0.061666571;0.073113009;0;0;0;0;20.05121;NORMAL;No
1/11/2022 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.48474;NORMAL;No
1/11/2022 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.05121;NORMAL;No
